FIPS,LOCATION,E_TOTPOP,E_AGE65,EP_AGE65,EP_POV150,EP_NOVEH,EP_DISABL,EP_UNINSUR,EP_MOBILE,EP_MUNIT,EP_AGE17,RPL_THEMES
04013108802,Census Tract 1088.02; Maricopa County; Arizona,2118,174,8.2,20.0,14.2,9.9,19.7,0.0,52.5,8.2,0.5906
04013108901,Census Tract 1089.01; Maricopa County; Arizona,2364,242,10.2,20.7,12.5,11.8,14.0,0.0,25.8,17.3,0.4659
04013108902,Census Tract 1089.02; Maricopa County; Arizona,5188,358,6.9,30.6,17.5,16.1,10.9,1.1,16.2,22.2,0.7968
04013109001,Census Tract 1090.01; Maricopa County; Arizona,5037,136,2.7,50.6,25.0,10.8,35.8,1.2,63.4,30.2,0.9879
04013109002,Census Tract 1090.02; Maricopa County; Arizona,3948,171,4.3,46.8,13.5,12.4,23.5,0.0,51.1,30.9,0.9532
04013109003,Census Tract 1090.03; Maricopa County; Arizona,6402,332,5.2,48.0,19.2,12.6,20.8,3.2,36.2,35.3,0.9994
04013109101,Census Tract 1091.01; Maricopa County; Arizona,3798,339,8.9,42.7,1.4,10.2,29.6,0.0,0.0,28.7,0.7361
04013109102,Census Tract 1091.02; Maricopa County; Arizona,6646,485,7.3,44.6,23.5,12.5,23.1,0.0,22.3,33.7,0.903
04013109200,Census Tract 1092; Maricopa County; Arizona,4463,256,5.7,41.0,29.5,18.3,23.4,4.2,50.2,22.9,0.9786
04013110100,Census Tract 1101; Maricopa County; Arizona,6915,445,6.4,40.8,3.8,11.1,29.1,0.0,19.9,29.4,0.8482
04013110400,Census Tract 1104; Maricopa County; Arizona,4948,418,8.4,29.6,8.2,7.1,23.6,0.0,27.1,15.9,0.6438
04013110501,Census Tract 1105.01; Maricopa County; Arizona,3445,449,13.0,29.6,19.5,10.1,10.2,0.0,77.2,13.3,0.7015
04013110502,Census Tract 1105.02; Maricopa County; Arizona,3264,461,14.1,28.6,8.7,8.7,15.4,0.0,70.3,6.1,0.5901
04013110600,Census Tract 1106; Maricopa County; Arizona,4758,852,17.9,15.3,7.7,9.9,10.3,0.4,31.7,13.8,0.735
04013110701,Census Tract 1107.01; Maricopa County; Arizona,2244,225,10.0,29.3,9.4,9.0,19.4,4.7,38.8,12.5,0.8603
04013110702,Census Tract 1107.02; Maricopa County; Arizona,4571,421,9.2,25.8,6.4,9.1,15.1,0.7,16.2,20.2,0.6755
04013110801,Census Tract 1108.01; Maricopa County; Arizona,5025,564,11.2,23.2,6.3,5.4,19.3,1.6,28.9,21.2,0.7442
04013110802,Census Tract 1108.02; Maricopa County; Arizona,2401,568,23.7,26.9,7.4,14.4,7.8,0.0,7.6,16.4,0.5497
04013110901,Census Tract 1109.01; Maricopa County; Arizona,3528,510,14.5,19.4,23.5,14.5,7.7,0.0,34.2,21.1,0.7009
04013110902,Census Tract 1109.02; Maricopa County; Arizona,4617,464,10.0,27.6,11.0,12.2,14.7,0.0,22.3,23.8,0.7985
04013111401,Census Tract 1114.01; Maricopa County; Arizona,4473,296,6.6,24.5,3.7,10.3,39.5,0.0,12.0,27.4,0.7436
04013111402,Census Tract 1114.02; Maricopa County; Arizona,3471,260,7.5,33.6,23.5,16.3,10.2,1.9,36.3,21.3,0.8135
04013111501,Census Tract 1115.01; Maricopa County; Arizona,2148,120,5.6,27.4,8.3,5.1,32.2,7.7,2.6,29.1,0.8112
04013111502,Census Tract 1115.02; Maricopa County; Arizona,6440,528,8.2,34.5,8.6,11.1,23.4,7.0,14.3,28.0,0.9486
04013111601,Census Tract 1116.01; Maricopa County; Arizona,3376,220,6.5,44.8,5.7,10.2,40.5,12.2,7.5,31.8,0.8915
04013111602,Census Tract 1116.02; Maricopa County; Arizona,4646,157,3.4,38.7,11.9,9.1,42.1,1.1,15.4,21.9,0.8736
04013111700,Census Tract 1117; Maricopa County; Arizona,5554,598,10.8,14.6,5.3,10.5,13.3,0.5,7.0,20.0,0.5462
04013111800,Census Tract 1118; Maricopa County; Arizona,4695,680,14.5,22.3,7.9,7.4,7.9,0.5,41.6,16.8,0.3326
04013111900,Census Tract 1119; Maricopa County; Arizona,2522,502,19.9,10.7,2.7,6.8,1.5,0.0,0.0,19.1,0.0647
04013112100,Census Tract 1121; Maricopa County; Arizona,3919,250,6.4,25.9,4.7,9.8,26.8,0.0,0.0,24.9,0.6969
04013112201,Census Tract 1122.01; Maricopa County; Arizona,5002,411,8.2,38.2,9.3,10.7,29.3,0.0,2.6,26.9,0.7933
04013112202,Census Tract 1122.02; Maricopa County; Arizona,4028,998,24.8,51.8,13.5,21.7,21.9,0.0,32.4,24.0,0.9931
04013112514,Census Tract 1125.14; Maricopa County; Arizona,4533,233,5.1,15.4,2.7,7.6,11.6,0.9,0.0,27.3,0.4827
04013112601,Census Tract 1126.01; Maricopa County; Arizona,3507,284,8.1,53.9,20.5,11.9,22.0,0.0,34.8,31.1,0.955
04013112602,Census Tract 1126.02; Maricopa County; Arizona,8704,491,5.6,49.9,9.8,12.8,28.7,38.6,3.4,36.3,0.9913
04013112700,Census Tract 1127; Maricopa County; Arizona,7787,614,7.9,45.2,8.2,13.5,29.0,2.8,2.1,32.2,0.9024
04013112900,Census Tract 1129; Maricopa County; Arizona,4630,335,7.2,36.4,11.1,8.6,18.6,0.0,19.0,23.9,0.8181
04013113000,Census Tract 1130; Maricopa County; Arizona,4041,198,4.9,20.3,8.5,8.7,13.7,1.0,65.1,8.9,0.586
04013113100,Census Tract 1131; Maricopa County; Arizona,5837,501,8.6,47.9,22.5,14.2,13.5,0.0,64.6,7.1,0.6553
04013113201,Census Tract 1132.01; Maricopa County; Arizona,2244,143,6.4,40.9,11.8,5.9,17.8,0.0,0.0,24.6,0.7003
04013113202,Census Tract 1132.02; Maricopa County; Arizona,2141,95,4.4,42.5,14.0,8.6,30.6,0.0,8.1,24.8,0.8562
04013113204,Census Tract 1132.04; Maricopa County; Arizona,2484,282,11.4,24.4,18.9,17.5,20.1,0.0,20.4,12.7,0.7552
04013113301,Census Tract 1133.01; Maricopa County; Arizona,3748,325,8.7,66.0,30.3,13.0,17.7,3.7,14.1,33.6,0.9977
04013113502,Census Tract 1135.02; Maricopa County; Arizona,3243,160,4.9,54.3,11.1,5.9,34.8,0.0,32.5,39.7,0.918
04013113503,Census Tract 1135.03; Maricopa County; Arizona,4826,264,5.5,40.7,12.7,5.9,32.9,2.2,30.7,27.9,0.9371
04013113601,Census Tract 1136.01; Maricopa County; Arizona,4911,73,1.5,33.4,7.1,4.1,36.1,2.2,51.3,26.3,0.9169
04013113602,Census Tract 1136.02; Maricopa County; Arizona,4292,307,7.2,35.7,9.5,11.3,20.5,12.3,16.5,23.8,0.9584
04013113800,Census Tract 1138; Maricopa County; Arizona,2581,137,5.3,27.5,7.5,12.9,15.1,5.5,75.8,12.0,0.7234
04013113900,Census Tract 1139; Maricopa County; Arizona,1532,59,3.9,73.4,49.2,7.7,15.6,4.4,27.7,38.3,0.9659
04013114000,Census Tract 1140; Maricopa County; Arizona,1865,190,10.2,39.5,24.2,14.3,17.8,1.7,53.6,5.5,0.713
04013114100,Census Tract 1141; Maricopa County; Arizona,2061,78,3.8,27.5,32.8,22.3,2.8,0.0,89.6,0.5,0.4885
04013114200,Census Tract 1142; Maricopa County; Arizona,933,135,14.5,45.4,12.0,8.4,16.2,1.2,13.6,15.6,0.9088
04013114301,Census Tract 1143.01; Maricopa County; Arizona,868,53,6.1,62.6,14.7,25.5,10.9,0.0,5.9,18.8,0.7217
04013114302,Census Tract 1143.02; Maricopa County; Arizona,2711,210,7.7,59.1,28.2,16.9,8.8,0.9,23.3,37.8,0.899
04013114401,Census Tract 1144.01; Maricopa County; Arizona,1687,93,5.5,47.9,5.9,18.0,24.5,6.8,1.3,21.4,0.8441
04013114402,Census Tract 1144.02; Maricopa County; Arizona,1756,191,10.9,38.0,7.3,11.1,15.7,0.0,1.1,26.8,0.7783
04013114500,Census Tract 1145; Maricopa County; Arizona,4224,335,7.9,39.4,15.6,15.2,28.0,13.9,3.7,22.9,0.9157
04013114600,Census Tract 1146; Maricopa County; Arizona,1364,191,14.0,50.2,8.0,14.7,23.4,0.0,0.0,30.0,0.9579
04013114704,Census Tract 1147.04; Maricopa County; Arizona,1988,127,6.4,69.3,7.8,12.1,33.9,30.4,0.0,13.8,0.8574
04013114705,Census Tract 1147.05; Maricopa County; Arizona,3325,16,0.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0
04013114800,Census Tract 1148; Maricopa County; Arizona,3120,244,7.8,42.8,9.0,14.5,27.3,2.5,0.6,29.9,0.9654
04013114900,Census Tract 1149; Maricopa County; Arizona,2717,713,26.2,59.3,32.9,17.9,14.1,0.0,14.6,24.8,0.9688
04013115200,Census Tract 1152; Maricopa County; Arizona,3427,93,2.7,34.0,2.5,5.5,19.1,0.9,3.3,38.1,0.8187
04013115300,Census Tract 1153; Maricopa County; Arizona,2765,438,15.8,45.9,19.3,16.5,16.2,6.1,32.6,24.4,0.9983
04013115400,Census Tract 1154; Maricopa County; Arizona,1688,139,8.2,40.2,15.7,17.2,28.5,9.1,0.8,23.6,0.9249
04013116800,Census Tract 1168; Maricopa County; Arizona,2659,227,8.5,43.3,12.7,11.7,14.9,27.5,2.2,27.5,0.8227
04013116900,Census Tract 1169; Maricopa County; Arizona,2653,133,5.0,41.6,7.2,9.3,48.0,58.4,4.9,32.3,0.9711
04013117000,Census Tract 1170; Maricopa County; Arizona,7015,776,11.1,33.8,19.7,14.0,11.6,7.4,24.2,31.6,0.9677
04013117100,Census Tract 1171; Maricopa County; Arizona,2920,430,14.7,18.7,3.4,10.8,14.8,0.0,48.3,14.8,0.597
04013117200,Census Tract 1172; Maricopa County; Arizona,1136,81,7.1,55.3,8.5,9.3,23.9,0.0,1.0,24.8,0.7321
04013117300,Census Tract 1173; Maricopa County; Arizona,2173,146,6.7,77.2,22.5,22.8,19.5,15.2,1.1,40.4,0.9988
04013981000,Census Tract 9810; Maricopa County; Arizona,580,14,2.4,100.0,-999.0,0.0,0.0,-999.0,-999.0,1.9,-999.0
